time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-27T23:10:03.963Z,62.4295,-151.1383,59.5,2.7,ml,,,,0.65,ak,ak0249m12ipp,2024-07-27T23:49:16.040Z,"20 km WSW of Petersville, Alaska",earthquake,,1.3,,,automatic,ak,ak
2024-07-27T23:08:29.989Z,32.785,-100.682,4.0527,2.9,ml,16,41,0.1,0.2,tx,tx2024orul,2024-07-27T23:48:25.167Z,"18 km NNE of Hermleigh, Texas",earthquake,1.435909304298942,1.7356583164621806,0.1,17,reviewed,tx,tx
2024-07-27T21:48:14.412Z,-24.3934,-67.2955,184.44,4.3,mb,24,71,1.647,0.68,us,us6000ngei,2024-07-27T22:09:48.040Z,"101 km W of San Antonio de los Cobres, Argentina",earthquake,9.03,10.354,0.217,6,reviewed,us,us
2024-07-27T21:26:14.125Z,-3.7743,131.5591,25.223,4.4,mb,16,66,1.093,0.69,us,us6000ngee,2024-07-27T21:44:40.040Z,"124 km SW of Fakfak, Indonesia",earthquake,7.05,6.078,0.134,16,reviewed,us,us
2024-07-27T21:14:08.517Z,-20.1427,-174.1439,57.825,4.8,mb,51,116,1.444,0.69,us,us6000ngeh,2024-07-27T22:04:36.040Z,"42 km SSE of Pangai, Tonga",earthquake,10.92,7.509,0.084,44,reviewed,us,us
2024-07-27T21:08:31.409Z,32.744,-100.696,3.4424,4.5,ml,44,38,0.1,0.3,tx,tx2024orqm,2024-07-28T20:22:07.492Z,"13 km NNE of Hermleigh, Texas",earthquake,1.6034596516963777,1.6350194811015057,0.1,33,reviewed,tx,tx
2024-07-27T18:25:02.386Z,45.5897,-111.7475,5.134,2.6,ml,36,46,0.083,0.56,us,us6000ngdk,2024-07-27T22:12:32.040Z,"12 km SSE of Harrison, Montana",earthquake,1.38,4.193,0.045,66,reviewed,us,us
2024-07-27T18:12:14.510Z,60.312,-152.3001,85.8,4.3,ml,,,,0.54,ak,ak0249ly3xrw,2024-07-28T21:41:59.715Z,"45 km NW of Ninilchik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-07-27T17:01:47.924Z,2.6543,128.447,227.906,4.8,mb,141,46,2.159,0.72,us,us6000ngdb,2024-07-27T17:37:37.040Z,"113 km NNE of Tobelo, Indonesia",earthquake,8.37,6.833,0.045,152,reviewed,us,us
2024-07-27T16:30:05.878Z,36.11650848,-97.82016754,1.108568907,2.55,ml,76,35.19082642,0.1021730602,0.6946768637,ok,ok2024orhh,2024-07-27T21:49:58.040Z,"7 km E of Hennessey, Oklahoma",earthquake,1.284895128,1.164730656,0.25,55,automatic,ok,ok
